"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","radio button","chromium","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","Form Layouts Page","uiComponents.spec.ts","",""
"","0","web tables","staging","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","sliders","webkit","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","10010","Test timeputs","dev","Tue Feb 18 12:05:26 CST 2025","broken","Tue Feb 18 12:05:36 CST 2025","","autoWaiting.spec.ts","",""
"","0","dialog box","firefox","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","154","user facing locators","dev","Tue Feb 18 12:05:41 CST 2025","failed","Tue Feb 18 12:05:42 CST 2025","","firstTest.spec.ts","",""
"","0","sliders","staging","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","checkboxes","firefox","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","checkboxes","staging","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","1","lists and dropdowns","firefox","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","1","navigate to form page","dev","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","usePageObjects.spec.ts","",""
"","0","tooltips","firefox","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","157","reusing the Locators","dev","Tue Feb 18 12:05:43 CST 2025","failed","Tue Feb 18 12:05:43 CST 2025","","firstTest.spec.ts","",""
"","0","dialog box","dev","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","dialog box","chromium","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","web tables","chromium","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","web tables","dev","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","0","navigate to form page","firefox","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","usePageObjects.spec.ts","",""
"","0","web tables","firefox","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","10010","Auto waiting","dev","Tue Feb 18 12:05:06 CST 2025","broken","Tue Feb 18 12:05:16 CST 2025","","autoWaiting.spec.ts","",""
"","0","Date Picker","chromium","Tue Feb 18 12:05:48 CST 2025","skipped","Tue Feb 18 12:05:48 CST 2025","","uiComponents.spec.ts","",""
"","158","Locating parent element","dev","Tue Feb 18 12:05:42 CST 2025","failed","Tue Feb 18 12:05:42 CST 2025","","firstTest.spec.ts","",""
